Category,Condition,Parameter,accuracy,precision,recall,f1,roc_auc,fpr,fnr,tp,tn,fp,fn
Baseline,Clean (No Perturbation),0.0,0.9952,0.9905,0.9905,0.9905,1.0,0.0032,0.0095,104,314,1,1
AWGN,SNR = 25.0 dB,25.0,0.9952,0.9905,0.9905,0.9905,1.0,0.0032,0.0095,104,314,1,1
AWGN,SNR = 20.0 dB,20.0,0.9929,0.9904,0.981,0.9856,0.9999,0.0032,0.019,103,314,1,2
AWGN,SNR = 15.0 dB,15.0,0.9905,1.0,0.9619,0.9806,0.9997,0.0,0.0381,101,315,0,4
AWGN,SNR = 10.0 dB,10.0,0.9524,1.0,0.8095,0.8947,0.9958,0.0,0.1905,85,315,0,20
AWGN,SNR = 5.0 dB,5.0,0.8714,1.0,0.4857,0.6538,0.9862,0.0,0.5143,51,315,0,54
AWGN,SNR = 0.0 dB,0.0,0.7881,1.0,0.1524,0.2645,0.9512,0.0,0.8476,16,315,0,89
Amplitude Scaling,Scale = 0.25x,0.25,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0,315,0,105
Amplitude Scaling,Scale = 0.5x,0.5,0.8333,1.0,0.3333,0.5,1.0,0.0,0.6667,35,315,0,70
Amplitude Scaling,Scale = 0.75x,0.75,0.9595,1.0,0.8381,0.9119,1.0,0.0,0.1619,88,315,0,17
Amplitude Scaling,Scale = 1.25x,1.25,0.9786,0.9211,1.0,0.9589,1.0,0.0286,0.0,105,306,9,0
Amplitude Scaling,Scale = 1.5x,1.5,0.8143,0.5738,1.0,0.7292,1.0,0.2476,0.0,105,237,78,0
Amplitude Scaling,Scale = 2.0x,2.0,0.3857,0.2893,1.0,0.4487,1.0,0.819,0.0,105,57,258,0
Phase Perturbation,Phase Shift = -90 deg,-1.5707963267948966,0.75,0.0,0.0,0.0,0.8244,0.0,1.0,0,315,0,105
Phase Perturbation,Phase Shift = -45 deg,-0.7853981633974483,0.8167,1.0,0.2667,0.4211,0.9903,0.0,0.7333,28,315,0,77
Phase Perturbation,Phase Shift = 45 deg,0.7853981633974483,0.7595,1.0,0.0381,0.0734,0.9982,0.0,0.9619,4,315,0,101
Phase Perturbation,Phase Shift = 90 deg,1.5707963267948966,0.75,0.0,0.0,0.0,0.8528,0.0,1.0,0,315,0,105
