Category,Condition,Parameter,accuracy,precision,recall,f1,roc_auc,fpr,fnr,tp,tn,fp,fn
Baseline,Clean (No Perturbation),0.0,0.9857,1.0,0.9429,0.9706,1.0,0.0,0.0571,99,315,0,6
AWGN,SNR = 25.0 dB,25.0,0.9857,1.0,0.9429,0.9706,1.0,0.0,0.0571,99,315,0,6
AWGN,SNR = 20.0 dB,20.0,0.9833,1.0,0.9333,0.9655,1.0,0.0,0.0667,98,315,0,7
AWGN,SNR = 15.0 dB,15.0,0.9833,1.0,0.9333,0.9655,0.9999,0.0,0.0667,98,315,0,7
AWGN,SNR = 10.0 dB,10.0,0.9952,0.9905,0.9905,0.9905,0.9997,0.0032,0.0095,104,314,1,1
AWGN,SNR = 5.0 dB,5.0,0.9405,0.8077,1.0,0.8936,0.9998,0.0794,0.0,105,290,25,0
AWGN,SNR = 0.0 dB,0.0,0.6095,0.3903,1.0,0.5615,0.987,0.5206,0.0,105,151,164,0
Amplitude Scaling,Scale = 0.25x,0.25,0.75,0.0,0.0,0.0,0.7547,0.0,1.0,0,315,0,105
Amplitude Scaling,Scale = 0.5x,0.5,0.75,0.0,0.0,0.0,0.9309,0.0,1.0,0,315,0,105
Amplitude Scaling,Scale = 0.75x,0.75,0.7571,1.0,0.0286,0.0556,0.9956,0.0,0.9714,3,315,0,102
Amplitude Scaling,Scale = 1.25x,1.25,0.969,0.8898,1.0,0.9417,1.0,0.0413,0.0,105,302,13,0
Amplitude Scaling,Scale = 1.5x,1.5,0.9024,0.7192,1.0,0.8367,1.0,0.1302,0.0,105,274,41,0
Amplitude Scaling,Scale = 2.0x,2.0,0.5333,0.3488,1.0,0.5172,1.0,0.6222,0.0,105,119,196,0
Phase Perturbation,Phase Shift = -90 deg,-1.5707963267948966,0.6071,0.3889,1.0,0.56,0.9254,0.5238,0.0,105,150,165,0
Phase Perturbation,Phase Shift = -45 deg,-0.7853981633974483,0.7667,0.5172,1.0,0.6818,0.9845,0.3111,0.0,105,217,98,0
Phase Perturbation,Phase Shift = 45 deg,0.7853981633974483,0.9857,1.0,0.9429,0.9706,1.0,0.0,0.0571,99,315,0,6
Phase Perturbation,Phase Shift = 90 deg,1.5707963267948966,0.7548,0.5048,1.0,0.6709,0.8969,0.327,0.0,105,212,103,0
