threshold,precision,recall,f1,fpr,fnr,tp,tn,fp,fn
0.05,0.2638190954773869,1.0,0.41749502982107356,0.9301587301587302,0.0,105,22,293,0
0.1,0.29577464788732394,1.0,0.45652173913043476,0.7936507936507936,0.0,105,65,250,0
0.15000000000000002,0.3547297297297297,1.0,0.5236907730673317,0.6063492063492063,0.0,105,124,191,0
0.2,0.4085603112840467,1.0,0.580110497237569,0.48253968253968255,0.0,105,163,152,0
0.25,0.5147058823529411,1.0,0.6796116504854369,0.3142857142857143,0.0,105,216,99,0
0.3,0.6363636363636364,1.0,0.7777777777777778,0.19047619047619047,0.0,105,255,60,0
0.35000000000000003,0.7553956834532374,1.0,0.860655737704918,0.10793650793650794,0.0,105,281,34,0
0.4,0.875,1.0,0.9333333333333333,0.047619047619047616,0.0,105,300,15,0
0.45,0.9051724137931034,1.0,0.9502262443438914,0.03492063492063492,0.0,105,304,11,0
0.5,0.9375,1.0,0.967741935483871,0.022222222222222223,0.0,105,308,7,0
0.55,0.9375,1.0,0.967741935483871,0.022222222222222223,0.0,105,308,7,0
0.6000000000000001,0.9459459459459459,1.0,0.9722222222222222,0.01904761904761905,0.0,105,309,6,0
0.6500000000000001,0.9459459459459459,1.0,0.9722222222222222,0.01904761904761905,0.0,105,309,6,0
0.7000000000000001,0.9813084112149533,1.0,0.9905660377358491,0.006349206349206349,0.0,105,313,2,0
0.7500000000000001,0.9905660377358491,1.0,0.995260663507109,0.0031746031746031746,0.0,105,314,1,0
0.8,0.9905660377358491,1.0,0.995260663507109,0.0031746031746031746,0.0,105,314,1,0
0.8500000000000001,1.0,0.9714285714285714,0.9855072463768116,0.0,0.02857142857142857,102,315,0,3
0.9000000000000001,1.0,0.9333333333333333,0.9655172413793104,0.0,0.06666666666666667,98,315,0,7
0.9500000000000001,1.0,0.8380952380952381,0.9119170984455959,0.0,0.1619047619047619,88,315,0,17
